schema,hardware,operation,resolution,input,size,fps,frames,warmup_frames,run_index,runs_planned,qp,gop_size,engine_profile,payload_bytes,payload_bpp,codec_time_seconds,throughput_fps,psnr_yuv
"resolution-matrix.v1","Orin (nvgpu)","decode","360p","/home/oelghati/datasets/360p/BasketballDrive_640x360_50.yuv","640x360","50","100","10","average","1","32","100","360p","82370","0.028600694","2.902000","34.460000","34.907211"
"resolution-matrix.v1","Orin (nvgpu)","encode","540p","/home/oelghati/datasets/540p/BasketballDrive_960x540_50.yuv","960x540","50","100","10","1","1","32","100","540p","138576","0.021385185","4.309","23.207","null"
"resolution-matrix.v1","Orin (nvgpu)","decode","540p","/home/oelghati/datasets/540p/BasketballDrive_960x540_50.yuv","960x540","50","100","10","1","1","32","100","540p","138576","0.021385185","4.350","22.989","35.895330"
"resolution-matrix.v1","Orin (nvgpu)","encode","540p","/home/oelghati/datasets/540p/BasketballDrive_960x540_50.yuv","960x540","50","100","10","average","1","32","100","540p","138576","0.021385185","4.309000","23.207000","null"
"resolution-matrix.v1","Orin (nvgpu)","decode","540p","/home/oelghati/datasets/540p/BasketballDrive_960x540_50.yuv","960x540","50","100","10","average","1","32","100","540p","138576","0.021385185","4.350000","22.989000","35.895330"
"resolution-matrix.v1","Orin (nvgpu)","encode","720p","/home/oelghati/datasets/720p/FourPeople_1280x720_60.yuv","1280x720","30","100","10","1","1","32","100","720p","92031","0.007988802","7.830","12.771","null"
"resolution-matrix.v1","Orin (nvgpu)","decode","720p","/home/oelghati/datasets/720p/FourPeople_1280x720_60.yuv","1280x720","30","100","10","1","1","32","100","720p","92031","0.007988802","7.338","13.628","40.697266"
"resolution-matrix.v1","Orin (nvgpu)","encode","720p","/home/oelghati/datasets/720p/FourPeople_1280x720_60.yuv","1280x720","30","100","10","average","1","32","100","720p","92031","0.007988802","7.830000","12.771000","null"
"resolution-matrix.v1","Orin (nvgpu)","decode","720p","/home/oelghati/datasets/720p/FourPeople_1280x720_60.yuv","1280x720","30","100","10","average","1","32","100","720p","92031","0.007988802","7.338000","13.628000","40.697266"
"resolution-matrix.v1","Orin (nvgpu)","encode","1080p","/home/oelghati/datasets/hd/BasketballDrive_1920x1080_50.yuv","1920x1080","60","100","10","1","1","32","100","1080p","357741","0.013801736","16.916","5.912","null"
"resolution-matrix.v1","Orin (nvgpu)","decode","1080p","/home/oelghati/datasets/hd/BasketballDrive_1920x1080_50.yuv","1920x1080","60","100","10","1","1","32","100","1080p","357741","0.013801736","15.495","6.454","36.457230"
"resolution-matrix.v1","Orin (nvgpu)","encode","1080p","/home/oelghati/datasets/hd/BasketballDrive_1920x1080_50.yuv","1920x1080","60","100","10","average","1","32","100","1080p","357741","0.013801736","16.916000","5.912000","null"
"resolution-matrix.v1","Orin (nvgpu)","decode","1080p","/home/oelghati/datasets/hd/BasketballDrive_1920x1080_50.yuv","1920x1080","60","100","10","average","1","32","100","1080p","357741","0.013801736","15.495000","6.454000","36.457230"
