schema,hardware,codec,operation,resolution,width,height,sequence,source_kind,qp,gop_size,source_timestamp,source_json,mode,frame_num,i_frame_num,p_frame_num,total_bytes,bitrate_kbps,model_initialization_time_s,peak_memory_mb,peak_gpu_memory_mb,reset_interval,throughput_fps,ave_i_frame_bpp,ave_i_frame_psnr,ave_i_frame_msssim,ave_i_frame_psnr_y,ave_i_frame_psnr_u,ave_i_frame_psnr_v,ave_i_frame_msssim_y,ave_i_frame_msssim_u,ave_i_frame_msssim_v,ave_p_frame_bpp,ave_p_frame_psnr,ave_p_frame_msssim,ave_p_frame_psnr_y,ave_p_frame_psnr_u,ave_p_frame_psnr_v,ave_p_frame_msssim_y,ave_p_frame_msssim_u,ave_p_frame_msssim_v,ave_all_frame_bpp,ave_all_frame_psnr,ave_all_frame_msssim,ave_all_frame_psnr_y,ave_all_frame_psnr_u,ave_all_frame_psnr_v,ave_all_frame_msssim_y,ave_all_frame_msssim_u,ave_all_frame_msssim_v
nvcr.python-dcvc-rt.gop.v1,jetson-orin,DCVC-RT,encode,352x288,352,288,waterfall_cif.yuv,summary,32,100,1786271520,"352x288/waterfall_cif.yuv/waterfall_cif.yuv,q=32,gop=100,time=1786271520_encode.json",encode_only,100,1,99,27491,65,6.100426,1512.316406,180.21582,64,8.268698,,,,,,,,,,,,,,,,,,,,,,,,,,,
nvcr.python-dcvc-rt.gop.v1,jetson-orin,DCVC-RT,decode,352x288,352,288,waterfall_cif.yuv,summary,32,100,1786274571,"352x288/waterfall_cif.yuv/waterfall_cif.yuv,q=32,gop=100,time=1786274571_decode.json",decode_only,100,1,99,,,6.380004,1467.117188,149.383789,64,13.533373,0.27178,32.1071,0.0,30.611421,35.855488,37.332789,0.0,0.0,0.0,0.0189,34.899983,0.0,33.763713,37.71069,38.906898,0.0,0.0,0.0,0.021428,34.872054,0.0,33.73219,37.692138,38.891157,0.0,0.0,0.0
nvcr.python-dcvc-rt.gop.v1,jetson-orin,DCVC-RT,encode,640x360,640,360,BasketballDrive_640x360_50.yuv,summary,32,1,1786278373,"640x360/BasketballDrive_640x360_50.yuv/BasketballDrive_640x360_50.yuv,q=32,gop=1,time=1786278373_encode.json",encode_only,100,100,0,403752,969,6.222632,1502.152344,162.126465,64,6.336081,,,,,,,,,,,,,,,,,,,,,,,,,,,
nvcr.python-dcvc-rt.gop.v1,jetson-orin,DCVC-RT,encode,640x360,640,360,BasketballDrive_640x360_50.yuv,summary,32,1,1786286160,"640x360/BasketballDrive_640x360_50.yuv/BasketballDrive_640x360_50.yuv,q=32,gop=1,time=1786286160_encode.json",encode_only,100,100,0,403752,969,6.313314,1479.777344,162.126465,64,6.289556,,,,,,,,,,,,,,,,,,,,,,,,,,,
nvcr.python-dcvc-rt.gop.v1,jetson-orin,DCVC-RT,decode,640x360,640,360,BasketballDrive_640x360_50.yuv,summary,32,1,1786286533,"640x360/BasketballDrive_640x360_50.yuv/BasketballDrive_640x360_50.yuv,q=32,gop=1,time=1786286533_decode.json",decode_only,100,100,0,,,6.143583,1465.339844,157.472168,64,6.267194,0.140051,36.326411,0.0,34.642103,42.348093,40.41058,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.140051,36.326411,0.0,34.642103,42.348093,40.41058,0.0,0.0,0.0
nvcr.python-dcvc-rt.gop.v1,jetson-orin,DCVC-RT,encode,640x360,640,360,BasketballDrive_640x360_50.yuv,summary,32,30,1786286205,"640x360/BasketballDrive_640x360_50.yuv/BasketballDrive_640x360_50.yuv,q=32,gop=30,time=1786286205_encode.json",encode_only,100,4,96,88609,212,5.961652,1555.890625,199.884277,64,7.598753,,,,,,,,,,,,,,,,,,,,,,,,,,,
nvcr.python-dcvc-rt.gop.v1,jetson-orin,DCVC-RT,decode,640x360,640,360,BasketballDrive_640x360_50.yuv,summary,32,30,1786286568,"640x360/BasketballDrive_640x360_50.yuv/BasketballDrive_640x360_50.yuv,q=32,gop=30,time=1786286568_decode.json",decode_only,100,4,96,,,5.776927,1516.066406,171.682617,64,9.497138,0.13684,36.394128,0.0,34.706635,42.387358,40.525854,0.0,0.0,0.0,0.026198,35.085721,0.0,33.320868,41.649849,39.110713,0.0,0.0,0.0,0.030624,35.138058,0.0,33.376299,41.679349,39.167318,0.0,0.0,0.0
nvcr.python-dcvc-rt.gop.v1,jetson-orin,DCVC-RT,encode,640x360,640,360,BasketballDrive_640x360_50.yuv,summary,32,100,1786276519,"640x360/BasketballDrive_640x360_50.yuv/BasketballDrive_640x360_50.yuv,q=32,gop=100,time=1786276519_encode.json",encode_only,100,1,99,72674,174,6.118864,1567.105469,200.026855,64,7.465633,,,,,,,,,,,,,,,,,,,,,,,,,,,
nvcr.python-dcvc-rt.gop.v1,jetson-orin,DCVC-RT,decode,640x360,640,360,BasketballDrive_640x360_50.yuv,summary,32,100,1786276852,"640x360/BasketballDrive_640x360_50.yuv/BasketballDrive_640x360_50.yuv,q=32,gop=100,time=1786276852_decode.json",decode_only,100,1,99,,,7.866541,1480.308594,171.288086,64,10.080296,0.114653,37.113015,0.0,35.509793,42.741424,41.103941,0.0,0.0,0.0,0.024186,34.909297,0.0,33.127025,41.516961,38.995261,0.0,0.0,0.0,0.025091,34.931334,0.0,33.150853,41.529206,39.016348,0.0,0.0,0.0
nvcr.python-dcvc-rt.gop.v1,jetson-orin,DCVC-RT,encode,960x540,960,540,BasketballDrive_960x540_50.yuv,summary,32,1,1786286256,"960x540/BasketballDrive_960x540_50.yuv/BasketballDrive_960x540_50.yuv,q=32,gop=1,time=1786286256_encode.json",encode_only,100,100,0,692863,1662,6.062799,1469.683594,196.640625,64,4.279421,,,,,,,,,,,,,,,,,,,,,,,,,,,
nvcr.python-dcvc-rt.gop.v1,jetson-orin,DCVC-RT,decode,960x540,960,540,BasketballDrive_960x540_50.yuv,summary,32,1,1786286612,"960x540/BasketballDrive_960x540_50.yuv/BasketballDrive_960x540_50.yuv,q=32,gop=1,time=1786286612_decode.json",decode_only,100,100,0,,,6.33738,1418.269531,187.145508,64,3.499141,0.106861,37.465835,0.0,35.804816,43.13805,41.759728,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.106861,37.465835,0.0,35.804816,43.13805,41.759728,0.0,0.0,0.0
nvcr.python-dcvc-rt.gop.v1,jetson-orin,DCVC-RT,encode,960x540,960,540,BasketballDrive_960x540_50.yuv,summary,32,30,1786286332,"960x540/BasketballDrive_960x540_50.yuv/BasketballDrive_960x540_50.yuv,q=32,gop=30,time=1786286332_encode.json",encode_only,100,4,96,153582,368,6.341604,1543.480469,238.238281,64,5.818096,,,,,,,,,,,,,,,,,,,,,,,,,,,
nvcr.python-dcvc-rt.gop.v1,jetson-orin,DCVC-RT,decode,960x540,960,540,BasketballDrive_960x540_50.yuv,summary,32,30,1786286660,"960x540/BasketballDrive_960x540_50.yuv/BasketballDrive_960x540_50.yuv,q=32,gop=30,time=1786286660_decode.json",decode_only,100,4,96,,,6.122224,1479.980469,212.433594,64,4.724036,0.104468,37.553226,0.0,35.893675,43.150207,41.913549,0.0,0.0,0.0,0.020269,36.116903,0.0,34.360759,42.442622,40.328044,0.0,0.0,0.0,0.023637,36.174356,0.0,34.422076,42.470925,40.391465,0.0,0.0,0.0
nvcr.python-dcvc-rt.gop.v1,jetson-orin,DCVC-RT,encode,960x540,960,540,BasketballDrive_960x540_50.yuv,summary,32,100,1786276696,"960x540/BasketballDrive_960x540_50.yuv/BasketballDrive_960x540_50.yuv,q=32,gop=100,time=1786276696_encode.json",encode_only,100,1,99,126463,303,5.981421,1559.511719,237.035156,64,5.920022,,,,,,,,,,,,,,,,,,,,,,,,,,,
nvcr.python-dcvc-rt.gop.v1,jetson-orin,DCVC-RT,decode,960x540,960,540,BasketballDrive_960x540_50.yuv,summary,32,100,1786277320,"960x540/BasketballDrive_960x540_50.yuv/BasketballDrive_960x540_50.yuv,q=32,gop=100,time=1786277320_decode.json",decode_only,100,1,99,,,6.101903,1495.246094,210.474609,64,4.908746,0.087315,38.308287,0.0,36.707302,43.676512,42.545969,0.0,0.0,0.0,0.018767,35.910704,0.0,34.122989,42.354283,40.193413,0.0,0.0,0.0,0.019452,35.934679,0.0,34.148832,42.367505,40.216938,0.0,0.0,0.0
