"schema","hardware","execution_mode","container_image","container_digest","operation","resolution","input","size","fps","frames","warmup_frames","run_index","runs_planned","qp","gop_size","engine_profile","payload_bytes","payload_bpp","codec_time_seconds","throughput_fps","psnr_yuv","peak_memory_mb","peak_gpu_memory_mb","peak_system_memory_mb","min_largest_free_block_mb","memory_sampler","memory_sample_ms"
"resolution-matrix.v1","rtx4070","native","","","decode","540p","/home/oelghati/NVCR/../datasets/540p/BasketballDrive_960x540_50.yuv","960x540","50","100","10","average","2","32","30","540p","159188","0.024566049","0.499500","200.223500","35.974793","null","null","null","null","none","0"
"resolution-matrix.v1","rtx4070","native","","","encode","720p","/home/oelghati/NVCR/../datasets/720p/FourPeople_1280x720_60.yuv","1280x720","30","100","10","1","2","32","30","720p","138928","0.012059722","1.015","98.556","null","null","null","null","null","none","0"
"resolution-matrix.v1","rtx4070","native","","","decode","720p","/home/oelghati/NVCR/../datasets/720p/FourPeople_1280x720_60.yuv","1280x720","30","100","10","1","2","32","30","720p","138928","0.012059722","0.979","102.151","40.455605","null","null","null","null","none","0"
"resolution-matrix.v1","rtx4070","native","","","encode","720p","/home/oelghati/NVCR/../datasets/720p/FourPeople_1280x720_60.yuv","1280x720","30","100","10","2","2","32","30","720p","138928","0.012059722","1.015","98.522","null","null","null","null","null","none","0"
"resolution-matrix.v1","rtx4070","native","","","decode","720p","/home/oelghati/NVCR/../datasets/720p/FourPeople_1280x720_60.yuv","1280x720","30","100","10","2","2","32","30","720p","138928","0.012059722","0.978","102.238","40.455605","null","null","null","null","none","0"
"resolution-matrix.v1","rtx4070","native","","","encode","720p","/home/oelghati/NVCR/../datasets/720p/FourPeople_1280x720_60.yuv","1280x720","30","100","10","average","2","32","30","720p","138928","0.012059722","1.015000","98.539000","null","null","null","null","null","none","0"
"resolution-matrix.v1","rtx4070","native","","","decode","720p","/home/oelghati/NVCR/../datasets/720p/FourPeople_1280x720_60.yuv","1280x720","30","100","10","average","2","32","30","720p","138928","0.012059722","0.978500","102.194500","40.455605","null","null","null","null","none","0"
"resolution-matrix.v1","rtx4070","native","","","encode","1080p","/home/oelghati/NVCR/../datasets/hd/BasketballDrive_1920x1080_50.yuv","1920x1080","60","100","10","1","2","32","30","1080p","406322","0.015676003","2.110","47.400","null","null","null","null","null","none","0"
"resolution-matrix.v1","rtx4070","native","","","decode","1080p","/home/oelghati/NVCR/../datasets/hd/BasketballDrive_1920x1080_50.yuv","1920x1080","60","100","10","1","2","32","30","1080p","406322","0.015676003","2.047","48.863","36.531272","null","null","null","null","none","0"
"resolution-matrix.v1","rtx4070","native","","","encode","1080p","/home/oelghati/NVCR/../datasets/hd/BasketballDrive_1920x1080_50.yuv","1920x1080","60","100","10","2","2","32","30","1080p","406322","0.015676003","2.110","47.398","null","null","null","null","null","none","0"
