campaign,sequence,width,height,qp,gop,implementation,operation,mode,metric,n,mean,median,sample_std,cv_percent,minimum,maximum,ci95_low,ci95_high
full,basketball-360p,640,360,42,1,python,encode,throughput,process_fps,10,6.191160157361635,6.20347154962727,0.05023163377928079,0.811344441147312,6.116265631009103,6.251131678702427,6.155226611238549,6.22709370348472
full,basketball-360p,640,360,42,1,python,encode,throughput,process_seconds,10,16.153019673899916,16.120008696000696,0.13121246581768553,0.8123092057499249,15.997103427000184,16.349845809999806,16.059155930325474,16.246883417474358
full,basketball-360p,640,360,42,1,python,encode,throughput,throughput_fps,10,17.352778122721215,17.392606209300638,0.12677860686204978,0.7305954468238698,17.123704413523946,17.497116385125373,17.262086170770868,17.443470074671563
full,basketball-360p,640,360,42,30,python,decode,memory,process_peak_rss_mib,10,1423.345703125,1423.087890625,2.3487715664502193,0.16501764548791048,1418.98046875,1427.0703125,1421.665493164351,1425.025913085649
full,basketball-360p,640,360,42,30,python,decode,throughput,codec_seconds,10,2.55742105120371,2.549738253507712,0.04259169836977231,1.6654159607283099,2.5163147610037413,2.6331815729790833,2.526952785637121,2.587889316770299
full,basketball-360p,640,360,42,30,python,decode,throughput,process_fps,10,7.975469878398661,7.980001917655316,0.0614770808564703,0.7708270709288148,7.839287734848078,8.075013897163627,7.931491824047981,8.01944793274934
full,basketball-360p,640,360,42,30,python,decode,throughput,process_seconds,10,12.539120391199868,12.531333695500507,0.09718746647830787,0.7750740358671043,12.383879615999831,12.756260948997806,12.4695966658791,12.608644116520635
full,basketball-360p,640,360,42,30,python,decode,throughput,throughput_fps,10,39.11150603153652,39.220021770802234,0.6415104705496848,1.6402090730856025,37.97687217097746,39.74065627628821,38.652597086164974,39.57041497690807
full,basketball-360p,640,360,42,30,python,encode,memory,process_peak_rss_mib,10,1475.453125,1475.42578125,2.9047211667255795,0.19686976953100963,1470.796875,1481.1484375,1473.3752126534123,1477.5310373465877
full,basketball-360p,640,360,42,30,python,encode,throughput,codec_seconds,10,3.216660380296207,3.2137980229947516,0.03170499320257696,0.9856493833414083,3.1678084759805643,3.2597461369805387,3.19397999445443,3.239340766137984
full,basketball-360p,640,360,42,30,python,encode,throughput,process_fps,10,7.44713071147691,7.445964763152876,0.07735840294749358,1.0387678952415207,7.343012632937569,7.583565904767716,7.391791843692191,7.5024695792616285
full,basketball-360p,640,360,42,30,python,encode,throughput,process_seconds,10,13.429289802000403,13.430106384001192,0.13899171327965873,1.0349893056813382,13.186408775999553,13.618388663999212,13.329861120030648,13.528718483970158
full,basketball-360p,640,360,42,30,python,encode,throughput,throughput_fps,10,31.090862875248185,31.115867169462398,0.30654288096887183,0.9859581002909841,30.67723552626976,31.567565008501965,30.87157530836554,31.31015044213083
full,basketball-360p,640,360,42,100,python,decode,memory,process_peak_rss_mib,10,1423.417578125,1423.087890625,3.076401322461432,0.21612781588055335,1419.44921875,1427.3984375,1421.2168531933855,1425.6183030566146
full,basketball-360p,640,360,42,100,python,decode,throughput,codec_seconds,10,2.483747566798752,2.4906768999953783,0.038336766408127054,1.5435049407029102,2.403048836004018,2.520667011001251,2.4563230961954368,2.5111720374020674
