schema,hardware,operation,resolution,input,size,fps,frames,warmup_frames,run_index,runs_planned,qp,gop_size,engine_profile,payload_bytes,payload_bpp,codec_time_seconds,throughput_fps,psnr_yuv,peak_memory_mb,peak_gpu_memory_mb,peak_system_memory_mb,min_largest_free_block_mb,memory_sampler,memory_sample_ms
"resolution-matrix.v1","rtx4070","decode","540p","/home/oelghati/datasets/540p/BasketballDrive_960x540_50.yuv","960x540","50","100","10","average","3","32","30","540p","163019","0.025157253","0.500333","199.915667","35.993917","491.886719","1220.000000","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","encode","720p","/home/oelghati/datasets/720p/FourPeople_1280x720_60.yuv","1280x720","30","100","10","1","3","32","30","720p","150987","0.013106510","1.030","97.086","null","560.945312","1536.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","decode","720p","/home/oelghati/datasets/720p/FourPeople_1280x720_60.yuv","1280x720","30","100","10","1","3","32","30","720p","150987","0.013106510","0.977","102.327","40.574286","508.734375","1536.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","encode","720p","/home/oelghati/datasets/720p/FourPeople_1280x720_60.yuv","1280x720","30","100","10","2","3","32","30","720p","150987","0.013106510","1.032","96.860","null","505.617188","1536.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","decode","720p","/home/oelghati/datasets/720p/FourPeople_1280x720_60.yuv","1280x720","30","100","10","2","3","32","30","720p","150987","0.013106510","0.978","102.206","40.574286","508.644531","1536.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","encode","720p","/home/oelghati/datasets/720p/FourPeople_1280x720_60.yuv","1280x720","30","100","10","3","3","32","30","720p","150987","0.013106510","1.031","96.995","null","505.597656","1536.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","decode","720p","/home/oelghati/datasets/720p/FourPeople_1280x720_60.yuv","1280x720","30","100","10","3","3","32","30","720p","150987","0.013106510","0.983","101.734","40.574286","508.742188","1536.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","encode","720p","/home/oelghati/datasets/720p/FourPeople_1280x720_60.yuv","1280x720","30","100","10","average","3","32","30","720p","150987","0.013106510","1.031000","96.980333","null","560.945312","1536.000000","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","decode","720p","/home/oelghati/datasets/720p/FourPeople_1280x720_60.yuv","1280x720","30","100","10","average","3","32","30","720p","150987","0.013106510","0.979333","102.089000","40.574286","508.742188","1536.000000","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","encode","1080p","/home/oelghati/datasets/hd/BasketballDrive_1920x1080_50.yuv","1920x1080","60","100","10","1","3","32","30","1080p","414696","0.015999074","2.115","47.280","null","525.433594","2266.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","decode","1080p","/home/oelghati/datasets/hd/BasketballDrive_1920x1080_50.yuv","1920x1080","60","100","10","1","3","32","30","1080p","414696","0.015999074","2.056","48.631","36.535355","531.027344","2266.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","encode","1080p","/home/oelghati/datasets/hd/BasketballDrive_1920x1080_50.yuv","1920x1080","60","100","10","2","3","32","30","1080p","414696","0.015999074","2.117","47.226","null","525.535156","2266.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","decode","1080p","/home/oelghati/datasets/hd/BasketballDrive_1920x1080_50.yuv","1920x1080","60","100","10","2","3","32","30","1080p","414696","0.015999074","2.057","48.618","36.535355","531.011719","2266.0","null","null","procfs+nvidia-smi","100"
