schema,hardware,execution_mode,container_image,container_digest,operation,resolution,input,size,frames,warmup_frames,run_index,runs_planned,qp,gop_size,engine_profile,payload_bytes,payload_bpp,codec_time_seconds,fps,psnr_yuv,peak_memory_mb,peak_gpu_memory_mb,peak_system_memory_mb,min_largest_free_block_mb,memory_sampler,memory_sample_ms
"resolution-matrix.v1","rtx3050","docker","omarelghati/nvcr:latest-amd64-cuda12.8-trt10.9","omarelghati/nvcr@sha256:40f215cd15d424f2f86971523ffff9c5a321081b9ffe68c898116254dcf971de","encode","cif","/input/cif/waterfall_cif.yuv","352x288","100","10","average","2","32","30","cif","60270","0.047561553","0.562500","177.820000","null","null","null","null","null","none","0"
"resolution-matrix.v1","rtx3050","docker","omarelghati/nvcr:latest-amd64-cuda12.8-trt10.9","omarelghati/nvcr@sha256:40f215cd15d424f2f86971523ffff9c5a321081b9ffe68c898116254dcf971de","decode","cif","/input/cif/waterfall_cif.yuv","352x288","100","10","average","2","32","30","cif","60270","0.047561553","0.679000","147.321000","34.458990","null","null","null","null","","0"
"resolution-matrix.v1","rtx3050","docker","omarelghati/nvcr:latest-amd64-cuda12.8-trt10.9","omarelghati/nvcr@sha256:40f215cd15d424f2f86971523ffff9c5a321081b9ffe68c898116254dcf971de","encode","360p","/input/360p/BasketballDrive_640x360_50.yuv","640x360","100","10","1","2","32","30","360p","94264","0.032730556","1.077","92.826","null","null","null","null","null","none","0"
"resolution-matrix.v1","rtx3050","docker","omarelghati/nvcr:latest-amd64-cuda12.8-trt10.9","omarelghati/nvcr@sha256:40f215cd15d424f2f86971523ffff9c5a321081b9ffe68c898116254dcf971de","decode","360p","/input/360p/BasketballDrive_640x360_50.yuv","640x360","100","10","1","2","32","30","360p","94264","0.032730556","1.089","91.866","34.943035","null","null","null","null","none","0"
"resolution-matrix.v1","rtx3050","docker","omarelghati/nvcr:latest-amd64-cuda12.8-trt10.9","omarelghati/nvcr@sha256:40f215cd15d424f2f86971523ffff9c5a321081b9ffe68c898116254dcf971de","encode","360p","/input/360p/BasketballDrive_640x360_50.yuv","640x360","100","10","2","2","32","30","360p","94264","0.032730556","0.927","107.873","null","null","null","null","null","none","0"
"resolution-matrix.v1","rtx3050","docker","omarelghati/nvcr:latest-amd64-cuda12.8-trt10.9","omarelghati/nvcr@sha256:40f215cd15d424f2f86971523ffff9c5a321081b9ffe68c898116254dcf971de","decode","360p","/input/360p/BasketballDrive_640x360_50.yuv","640x360","100","10","2","2","32","30","360p","94264","0.032730556","1.115","89.678","34.943035","null","null","null","null","none","0"
"resolution-matrix.v1","rtx3050","docker","omarelghati/nvcr:latest-amd64-cuda12.8-trt10.9","omarelghati/nvcr@sha256:40f215cd15d424f2f86971523ffff9c5a321081b9ffe68c898116254dcf971de","encode","360p","/input/360p/BasketballDrive_640x360_50.yuv","640x360","100","10","average","2","32","30","360p","94264","0.032730556","1.002000","100.349500","null","null","null","null","null","none","0"
"resolution-matrix.v1","rtx3050","docker","omarelghati/nvcr:latest-amd64-cuda12.8-trt10.9","omarelghati/nvcr@sha256:40f215cd15d424f2f86971523ffff9c5a321081b9ffe68c898116254dcf971de","decode","360p","/input/360p/BasketballDrive_640x360_50.yuv","640x360","100","10","average","2","32","30","360p","94264","0.032730556","1.102000","90.772000","34.943035","null","null","null","null","","0"
"resolution-matrix.v1","rtx3050","docker","omarelghati/nvcr:latest-amd64-cuda12.8-trt10.9","omarelghati/nvcr@sha256:40f215cd15d424f2f86971523ffff9c5a321081b9ffe68c898116254dcf971de","encode","540p","/input/540p/BasketballDrive_960x540_50.yuv","960x540","100","10","1","2","32","30","540p","159063","0.024546759","1.640","60.959","null","null","null","null","null","none","0"
"resolution-matrix.v1","rtx3050","docker","omarelghati/nvcr:latest-amd64-cuda12.8-trt10.9","omarelghati/nvcr@sha256:40f215cd15d424f2f86971523ffff9c5a321081b9ffe68c898116254dcf971de","decode","540p","/input/540p/BasketballDrive_960x540_50.yuv","960x540","100","10","1","2","32","30","540p","159063","0.024546759","2.007","49.818","35.982801","null","null","null","null","none","0"
