sequence,width,height,qp,gop,implementation,operation,mode,metric,n,mean,sample_std,cv_percent,minimum,maximum
akiyo-qcif,176,144,63,100,nvcr,decode,memory,process_peak_rss_mib,10,519.41640625,0.20584615608254223,0.039630276134070844,518.953125,519.63671875
akiyo-qcif,176,144,63,100,nvcr,decode,throughput,codec_seconds,10,0.0950450006,0.003912592622566475,4.116568570537181,0.093001248,0.103086417
akiyo-qcif,176,144,63,100,nvcr,decode,throughput,process_seconds,10,1.15566966370003,0.019171184020414664,1.6588809607613624,1.1292922020002152,1.1900165799997922
akiyo-qcif,176,144,63,100,nvcr,decode,throughput,throughput_fps,10,1053.6503008214381,40.94975650092415,3.886465601442836,970.0599061465101,1075.2543879841269
akiyo-qcif,176,144,63,100,nvcr,encode,memory,process_peak_rss_mib,10,519.362890625,0.13966262614885608,0.026891144644698512,519.15234375,519.546875
akiyo-qcif,176,144,63,100,nvcr,encode,throughput,codec_seconds,10,0.1042075877,0.00012895300071563573,0.12374626796550989,0.104076731,0.10448029
akiyo-qcif,176,144,63,100,nvcr,encode,throughput,process_seconds,10,1.180679624400034,0.021384605813172485,1.8112115574145813,1.1393523000000414,1.20821598800012
akiyo-qcif,176,144,63,100,nvcr,encode,throughput,throughput_fps,10,959.624340747655,1.1860272998560344,0.12359287374182132,957.1183234656029,960.8295633343826
akiyo-qcif,176,144,63,100,python,decode,memory,process_peak_rss_mib,10,1353.52421875,0.1766980336491782,0.013054663610848536,1353.328125,1353.8515625
akiyo-qcif,176,144,63,100,python,decode,throughput,codec_seconds,10,0.2882112644994095,0.00362124927715587,1.2564565383818609,0.2829543799998646,0.29602408000118885
akiyo-qcif,176,144,63,100,python,decode,throughput,process_seconds,10,3.5681287839998275,0.010661795212972471,0.2988063452412929,3.55633577899971,3.5879598809997333
akiyo-qcif,176,144,63,100,python,decode,throughput,throughput_fps,10,347.0165488037544,4.320209075544619,1.2449576512812919,337.8103565074787,353.41386127349523
akiyo-qcif,176,144,63,100,python,encode,memory,process_peak_rss_mib,10,1359.51171875,0.14423181256299988,0.010609089320363748,1359.2578125,1359.73046875
akiyo-qcif,176,144,63,100,python,encode,throughput,codec_seconds,10,0.35725781209889645,0.0017256427677156932,0.4830245019912956,0.35480550899774244,0.35976782699890464
akiyo-qcif,176,144,63,100,python,encode,throughput,process_seconds,10,3.653767419399969,0.016382310430392708,0.4483676312676479,3.628099731000475,3.689295809000214
akiyo-qcif,176,144,63,100,python,encode,throughput,throughput_fps,10,279.91577850999795,1.351261954253831,0.4827387585818308,277.95703922214386,281.8445527592873
basketball-1080p,1920,1080,0,1,nvcr,decode,memory,process_peak_rss_mib,10,486.86015625,0.11098761583192765,0.022796610978971982,486.66015625,487.04296875
basketball-1080p,1920,1080,0,1,nvcr,decode,throughput,codec_seconds,10,5.5843809219,0.0073820923143250484,0.13219177591154374,5.568313335,5.59475307
basketball-1080p,1920,1080,0,1,nvcr,decode,throughput,process_seconds,10,7.222751003899828,0.021980195140741225,0.3043188824988334,7.1949730979995365,7.264600726000026
basketball-1080p,1920,1080,0,1,nvcr,decode,throughput,throughput_fps,10,17.907116085166894,0.02369585320080008,0.13232646221815808,17.873889830136864,17.958759499298182
basketball-1080p,1920,1080,0,1,nvcr,encode,memory,process_peak_rss_mib,10,466.333203125,0.1153215154278373,0.02472942408025909,466.05859375,466.45703125
basketball-1080p,1920,1080,0,1,nvcr,encode,throughput,codec_seconds,10,6.1897594501,0.0050103764022329566,0.08094622162016345,6.181047944,6.197558138
basketball-1080p,1920,1080,0,1,nvcr,encode,throughput,process_seconds,10,7.902616763199944,0.021482570822220798,0.2718412326693928,7.866893607999373,7.932035379999434
basketball-1080p,1920,1080,0,1,nvcr,encode,throughput,throughput_fps,10,16.155726207959663,0.013077076771018381,0.08094391179132213,16.13538715947742,16.178486383861642
basketball-1080p,1920,1080,0,1,python,decode,memory,process_peak_rss_mib,10,1272.432421875,0.41826698699118486,0.03287144997255298,1272.046875,1273.55859375
basketball-1080p,1920,1080,0,1,python,decode,throughput,codec_seconds,10,4.580429332799213,0.005391169479695953,0.11770009071183021,4.572495062007874,4.591018327993879
basketball-1080p,1920,1080,0,1,python,decode,throughput,process_seconds,10,8.215238597400225,0.01537317111646516,0.187129940709575,8.197443805000148,8.239838081000016
basketball-1080p,1920,1080,0,1,python,decode,throughput,throughput_fps,10,21.832041788262114,0.025680256544419,0.11762645378512358,21.781659940289682,21.86989786624023
basketball-1080p,1920,1080,0,1,python,encode,memory,process_peak_rss_mib,10,1282.5828125,0.2745068376311417,0.021402659926190278,1282.19140625,1283.046875
basketball-1080p,1920,1080,0,1,python,encode,throughput,codec_seconds,10,8.493722126199515,0.02453829341621598,0.28889917814153343,8.457207024999946,8.53705586700562
basketball-1080p,1920,1080,0,1,python,encode,throughput,process_seconds,10,12.56788630920002,0.029280387357487076,0.2329778185219027,12.512372440999968,12.605443248001393
basketball-1080p,1920,1080,0,1,python,encode,throughput,throughput_fps,10,11.77348977936235,0.03398970862930955,0.2886969731683958,11.713640107063641,11.824234608942973
basketball-1080p,1920,1080,0,30,nvcr,decode,memory,process_peak_rss_mib,10,463.00390625,0.13320764339436592,0.02877030659919317,462.85546875,463.2578125
basketball-1080p,1920,1080,0,30,nvcr,decode,throughput,codec_seconds,10,2.2336524917,0.0020645989118193825,0.09243151830874312,2.231598829,2.2378566
basketball-1080p,1920,1080,0,30,nvcr,decode,throughput,process_seconds,10,3.5547613779998755,0.009316198431733229,0.26207661896493,3.5371622060001755,3.5698076029984804
basketball-1080p,1920,1080,0,30,nvcr,decode,throughput,throughput_fps,10,44.76975590831743,0.04135182696800725,0.09236554037214398,44.68561569137182,44.81092152428262
basketball-1080p,1920,1080,0,30,nvcr,encode,memory,process_peak_rss_mib,10,463.834765625,0.07375011954145208,0.015900084471261344,463.6796875,463.9140625
basketball-1080p,1920,1080,0,30,nvcr,encode,throughput,codec_seconds,10,2.3927522918,0.00237753776720811,0.09936414125925068,2.389335168,2.395855955
basketball-1080p,1920,1080,0,30,nvcr,encode,throughput,process_seconds,10,3.7269313237999313,0.02004193577146199,0.5377597285862378,3.701428934999967,3.7584410259987635
basketball-1080p,1920,1080,0,30,nvcr,encode,throughput,throughput_fps,10,41.792913213183496,0.04153310372438894,0.09937834080273543,41.738736334004685,41.85264643457506
basketball-1080p,1920,1080,0,30,python,decode,memory,process_peak_rss_mib,10,1281.65859375,2.531192530854816,0.19749350905133087,1280.4140625,1288.8359375
basketball-1080p,1920,1080,0,30,python,decode,throughput,codec_seconds,10,2.281146807100936,0.0011702071732981882,0.05129907332818186,2.2790263629988203,2.2830638369987355
basketball-1080p,1920,1080,0,30,python,decode,throughput,process_seconds,10,5.713835308800048,0.01829438285871724,0.3201769366810681,5.6930734170000505,5.74492727300003
basketball-1080p,1920,1080,0,30,python,decode,throughput,throughput_fps,10,43.83760982591146,0.0224891981164737,0.05130115032681555,43.8007901397351,43.87838667579808
basketball-1080p,1920,1080,0,30,python,encode,memory,process_peak_rss_mib,10,1291.31171875,5.013545291829841,0.3882521330080542,1287.16015625,1304.90234375
basketball-1080p,1920,1080,0,30,python,encode,throughput,codec_seconds,10,4.958477527898117,0.01700928536338515,0.34303443481764323,4.935856713001158,4.989725255000394
basketball-1080p,1920,1080,0,30,python,encode,throughput,process_seconds,10,8.718427746699945,0.026446030256536253,0.30333485606446037,8.688341824999952,8.787299829000176
basketball-1080p,1920,1080,0,30,python,encode,throughput,throughput_fps,10,20.167693911861335,0.06905102821906221,0.3423843525235717,20.041183610217054,20.259907411128395
basketball-1080p,1920,1080,0,100,nvcr,decode,memory,process_peak_rss_mib,10,462.954296875,0.19234772355201493,0.04154788601172651,462.66015625,463.22265625
basketball-1080p,1920,1080,0,100,nvcr,decode,throughput,codec_seconds,10,2.1254569705,0.00341342211413769,0.1605970933081136,2.122857553,2.133104027
basketball-1080p,1920,1080,0,100,nvcr,decode,throughput,process_seconds,10,3.4555673910000904,0.03016278382594325,0.8728749988931256,3.4157722889999604,3.488727340999958
basketball-1080p,1920,1080,0,100,nvcr,decode,throughput,throughput_fps,10,47.04881491998308,0.07539699957969459,0.16025270712540554,46.880039010868174,47.106316605502364
basketball-1080p,1920,1080,0,100,nvcr,encode,memory,process_peak_rss_mib,10,460.9921875,0.134575210184419,0.02919251428407754,460.76171875,461.21875
basketball-1080p,1920,1080,0,100,nvcr,encode,throughput,codec_seconds,10,2.2696018601,0.001505618374734508,0.0663384358817969,2.266441997,2.271687723
basketball-1080p,1920,1080,0,100,nvcr,encode,throughput,process_seconds,10,3.6211514223000507,0.028661436524314774,0.7915006356213035,3.582820970999819,3.6600747900001807
