campaign,campaign_fingerprint,execution_id,case_id,sequence,width,height,qp,gop,implementation,operation,mode,repeat,frames,timed_frames,warmup_frames,codec_seconds,throughput_fps,initialization_seconds,process_seconds,process_fps,process_peak_rss_mib,file_bytes,entropy_bytes,file_bpp,entropy_bpp,pooled_psnr_yuv_db
full,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e,e778eae6-85d6-403d-89fb-1851d64ede62-decode,akiyo-qcif-q0-g1,akiyo-qcif,176,144,0,1,python,decode,memory,4,100,100,10,0.390079668002727,256.35788840781345,1.5572314269993512,3.58763924699997,,1264.0234375,,,,,
full,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e,e778eae6-85d6-403d-89fb-1851d64ede62-encode,akiyo-qcif-q0-g1,akiyo-qcif,176,144,0,1,python,encode,memory,4,100,100,10,0.5097268399968016,196.18350879978672,1.5916292700003396,3.7946788310000557,,1287.8203125,15775,15369,0.04979482323232323,0.04851325757575758,
full,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e,ef4fc9ac-c47e-403b-bd9b-c70bc41d017b-decode,akiyo-qcif-q0-g1,akiyo-qcif,176,144,0,1,python,decode,memory,5,100,100,10,0.388756539014139,257.2303999145414,1.5543991179984005,3.57652953899742,,1263.53125,,,,,
full,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e,ef4fc9ac-c47e-403b-bd9b-c70bc41d017b-encode,akiyo-qcif-q0-g1,akiyo-qcif,176,144,0,1,python,encode,memory,5,100,100,10,0.5173045980009192,193.3097064793967,1.5396652220006217,3.7203720830002567,,1287.79296875,15775,15369,0.04979482323232323,0.04851325757575758,
full,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e,ef76e70e-99b8-4394-a14c-0a9b146f5e29-decode,akiyo-qcif-q0-g1,akiyo-qcif,176,144,0,1,python,decode,memory,6,100,100,10,0.395089873996767,253.10696775999452,1.5472923509987595,3.5777383929998905,,1263.734375,,,,,
full,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e,ef76e70e-99b8-4394-a14c-0a9b146f5e29-encode,akiyo-qcif-q0-g1,akiyo-qcif,176,144,0,1,python,encode,memory,6,100,100,10,0.5131775429872505,194.86433373115165,1.5702832070019213,3.7592758419996244,,1287.9609375,15775,15369,0.04979482323232323,0.04851325757575758,
full,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e,799780f2-9f23-4c52-968e-2064047a0ba7-decode,akiyo-qcif-q0-g1,akiyo-qcif,176,144,0,1,python,decode,memory,7,100,100,10,0.3955210760141199,252.83102738229314,1.5563581940004951,3.587209661000088,,1263.9453125,,,,,
full,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e,799780f2-9f23-4c52-968e-2064047a0ba7-encode,akiyo-qcif-q0-g1,akiyo-qcif,176,144,0,1,python,encode,memory,7,100,100,10,0.5502189010003349,181.74584664066117,1.6015457439971215,3.829600269000366,,1288.22265625,15775,15369,0.04979482323232323,0.04851325757575758,
full,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e,0d116793-052a-45fa-9ae8-6165f5752d0b-decode,akiyo-qcif-q0-g1,akiyo-qcif,176,144,0,1,python,decode,memory,8,100,100,10,0.3894871430238709,256.7478844709162,1.550823390000005,3.5791324749989144,,1263.8203125,,,,,
full,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e,0d116793-052a-45fa-9ae8-6165f5752d0b-encode,akiyo-qcif-q0-g1,akiyo-qcif,176,144,0,1,python,encode,memory,8,100,100,10,0.5154738480050582,193.99626263681708,1.5517760740003723,3.7391689739997673,,1288.2578125,15775,15369,0.04979482323232323,0.04851325757575758,
